"","size","variable","value"
"1","<$5K","Secured",0.42
"2","$5K-$10K","Secured",1.22
"3","$10K-$20K","Secured",2.62
"4","$20K-$30K","Secured",4.33
"5","$30K-$40K","Secured",6.08
"6","40K-$50K","Secured",8.14
"7","50K-$100K","Secured",15.04
"8","$100K-$250K","Secured",34.59
"9","$250K-$500K","Secured",44.03
"10",">$500K","Secured",37
"11","<$5K","Priority",4.14
"12","$5K-$10K","Priority",5.51
"13","$10K-$20K","Priority",6.58
"14","$20K-$30K","Priority",6.84
"15","$30K-$40K","Priority",6.54
"16","40K-$50K","Priority",7
"17","50K-$100K","Priority",6.6
"18","$100K-$250K","Priority",5.3
"19","$250K-$500K","Priority",4.6
"20",">$500K","Priority",3.9
"21","<$5K","Unsecured",60.47
"22","$5K-$10K","Unsecured",55.86
"23","$10K-$20K","Unsecured",50.81
"24","$20K-$30K","Unsecured",47.24
"25","$30K-$40K","Unsecured",44.71
"26","40K-$50K","Unsecured",40.91
"27","50K-$100K","Unsecured",34.96
"28","$100K-$250K","Unsecured",22.49
"29","$250K-$500K","Unsecured",17.37
"30",">$500K","Unsecured",25.47
